,count,lat,long,pop,pop/ex
235,30.0,14.6625,120.9567,365525.0,12184.166666666666
236,28.0,10.25,123.8333,227645.0,8130.178571428572
237,46.0,14.3583,121.0583,325809.0,7082.804347826087
238,39.0,13.75,121.05,329874.0,8458.307692307691
239,5.0,14.4333,120.4833,127536.0,25507.2
240,34.0,14.3333,121.0833,333028.0,9794.941176470587
241,18.0,14.0833,121.15,173366.0,9631.444444444445
242,9.0,15.7,120.4167,83248.0,9249.777777777777
243,96.0,14.45,120.9833,588894.0,6134.3125
244,6.0,13.7917,121.0085,91297.0,15216.166666666666
245,4.0,13.9167,121.05,32783.0,8195.75
246,1.0,16.9833,122.0167,55370.0,55370.0
247,5.0,9.5833,123.75,33553.0,6710.6
248,20.0,14.7167,121.1167,369222.0,18461.1
249,56.0,14.7,120.9833,620422.0,11078.964285714286
250,6.0,15.0719,120.5419,124381.0,20730.166666666668
251,7.0,16.0267,120.7478,43149.0,6164.142857142857
252,35.0,14.3833,120.8833,314303.0,8980.085714285715
253,5.0,9.5167,123.1583,80532.0,16106.4
254,4.0,9.5907,123.1213,76291.0,19072.75
255,7.0,9.3667,122.8,117900.0,16842.85714285714
256,9.0,15.3312,120.5898,140202.0,15578.0
257,31.0,13.9411,121.1622,332386.0,10722.129032258064
258,29.0,13.846,121.206,116764.0,4026.344827586207
259,11.0,14.9,120.2333,104771.0,9524.636363636364
260,4.0,13.5677,122.5667,48461.0,12115.25
261,4.0,17.8,120.45,37501.0,9375.25
262,8.0,14.5417,121.0667,63840.0,7980.0
263,20.0,14.4514,121.1919,282474.0,14123.7
264,2.0,8.45,126.1667,38833.0,19416.5
265,8.0,6.2167,125.0667,152589.0,19073.625
266,2.0,7.6939,122.9845,32428.0,16214.0
267,9.0,16.4621,120.5877,129133.0,14348.111111111111
268,10.0,14.0667,120.6333,134113.0,13411.3
269,2.0,10.7167,122.2667,32004.0,16002.0
270,2.0,10.6667,122.3167,33820.0,16910.0
271,4.0,7.7333,123.0667,36634.0,9158.5
272,5.0,13.7167,123.2333,83033.0,16606.6
273,5.0,10.6442,122.2352,67565.0,13513.0
274,12.0,14.9496,120.7587,107965.0,8997.083333333334
275,3.0,14.0333,120.65,52660.0,17553.333333333332
276,3.0,13.8,121.0333,65424.0,21808.0
277,4.0,14.5619,120.5983,68071.0,17017.75
278,3.0,8.6057,125.9153,82631.0,27543.666666666668
279,7.0,14.8,120.5333,66909.0,9558.42857142857
280,3.0,7.8167,123.3667,32013.0,10671.0
281,4.0,14.7425,121.6494,69079.0,17269.75
282,8.0,16.0167,120.2333,103278.0,12909.75
283,5.0,10.4167,122.9167,64469.0,12893.8
284,9.0,14.1167,122.95,104799.0,11644.333333333334
285,6.0,15.9167,120.4167,130275.0,21712.5
286,6.0,16.5333,120.3333,75032.0,12505.333333333334
287,4.0,13.4083,123.375,83874.0,20968.5
288,9.0,15.5839,120.9189,124829.0,13869.888888888889
289,13.0,14.8,120.9333,119675.0,9205.76923076923
290,4.0,16.3982,120.3555,47458.0,11864.5
291,2.0,16.8167,120.4,39188.0,19594.0
292,1.0,18.2667,122.0,38892.0,38892.0
293,8.0,10.5333,123.9333,136471.0,17058.875
294,3.0,13.884,122.2604,95167.0,31722.333333333332
295,6.0,16.3825,121.11,53433.0,8905.5
296,19.0,14.6969,121.1219,252527.0,13290.894736842105
297,6.0,8.9744,125.409,61614.0,10269.0
298,7.0,14.1133,121.5569,51475.0,7353.571428571428
299,8.0,16.5239,121.1919,59517.0,7439.625
300,6.0,14.1379,120.8552,51839.0,8639.833333333334
301,4.0,15.2667,120.9,51612.0,12903.0
302,3.0,15.35,121.05,47865.0,15955.0
303,4.0,11.4333,122.6,39644.0,9911.0
304,6.0,10.3667,122.8833,51866.0,8644.333333333334
305,9.0,14.6667,120.9417,249463.0,27718.11111111111
306,22.0,14.1,120.9333,71181.0,3235.5
307,6.0,13.4167,123.4167,111757.0,18626.166666666668
308,3.0,18.2519,120.6107,32215.0,10738.333333333334
309,22.0,14.3944,120.8531,226188.0,10281.272727272728
310,6.0,14.9081,120.7156,75850.0,12641.666666666666
311,24.0,14.2306,120.975,248085.0,10336.875
312,3.0,13.0583,121.4117,39099.0,13033.0
313,4.0,18.355,121.6419,65649.0,16412.25
314,3.0,13.45,121.8333,54730.0,18243.333333333332
315,3.0,10.35,124.9667,28905.0,9635.0
316,4.0,12.6714,123.875,100076.0,25019.0
317,1.0,16.5833,121.5,30582.0,30582.0
318,4.0,13.1619,123.6939,126595.0,31648.75
319,5.0,13.7,123.5,63308.0,12661.6
320,7.0,15.3333,119.9833,50506.0,7215.142857142857
321,3.0,16.8167,121.1,19333.0,6444.333333333333
322,4.0,13.7,123.0667,108716.0,27179.0
323,2.0,13.2233,120.596,42975.0,21487.5
324,8.0,13.2922,123.4856,88221.0,11027.625
325,3.0,12.837,120.7829,83169.0,27723.0
326,6.0,13.35,123.7333,133868.0,22311.333333333332
327,3.0,17.45,121.4583,110642.0,36880.666666666664
328,10.0,17.5747,120.3869,53879.0,5387.9
329,5.0,10.95,123.3,154723.0,30944.6
330,8.0,10.1167,123.6333,119664.0,14958.0
331,5.0,12.45,124.65,94037.0,18807.4
332,4.0,10.3667,124.75,63431.0,15857.75
333,4.0,10.2667,122.85,85602.0,21400.5
334,6.0,10.1333,124.85,85560.0,14260.0
335,3.0,10.9,123.4167,146264.0,48754.666666666664
336,4.0,11.4214,122.6662,30134.0,7533.5
337,9.0,10.3833,123.65,170335.0,18926.11111111111
338,4.0,6.7833,125.2167,60440.0,15110.0
339,3.0,9.25,124.7167,38735.0,12911.666666666666
340,3.0,8.3333,123.8333,27654.0,9218.0
341,2.0,7.5783,123.1659,37873.0,18936.5
342,7.0,7.3,125.6833,184599.0,26371.285714285714
343,4.0,8.2333,123.0,99435.0,24858.75
344,4.0,10.5388,122.8384,170981.0,42745.25
345,5.0,11.0333,125.7333,52991.0,10598.2
346,3.0,8.0667,123.75,63011.0,21003.666666666668
347,25.0,14.7333,120.95,209083.0,8363.32
348,4.0,16.7787,121.6972,71504.0,17876.0
349,8.0,14.8833,120.4667,106371.0,13296.375
350,7.0,16.07,120.4025,106331.0,15190.142857142857
351,2.0,13.3233,121.3028,102998.0,51499.0
352,3.0,15.6833,121.1667,64087.0,21362.333333333332
353,15.0,15.8944,120.6328,63081.0,4205.4
354,4.0,10.95,122.6333,75070.0,18767.5
355,4.0,9.3336,125.9775,31492.0,7873.0
356,3.0,8.05,123.8,47165.0,15721.666666666666
357,5.0,8.9884,125.3408,41957.0,8391.4
358,31.0,14.275,121.125,308745.0,9959.516129032258
359,3.0,18.4441,121.4576,32497.0,10832.333333333334
360,7.0,10.6833,124.8,109432.0,15633.142857142857
361,2.0,6.7,121.9667,112788.0,56394.0
362,1.0,10.6,123.0333,81286.0,81286.0
363,7.0,14.5119,121.2389,58118.0,8302.57142857143
364,3.0,14.15,121.3167,80453.0,26817.666666666668
365,5.0,14.0036,121.9199,63432.0,12686.4
366,5.0,13.9667,121.5333,148980.0,29796.0
367,6.0,14.0167,121.5833,99779.0,16629.833333333332
368,8.0,13.95,121.3167,99712.0,12464.0
369,4.0,14.1364,121.4165,63057.0,15764.25
370,4.0,14.4167,121.45,38067.0,9516.75
371,4.0,14.2,120.8833,65599.0,16399.75
372,9.0,14.4333,120.8833,45846.0,5094.0
373,1.0,13.15,123.6,66904.0,66904.0
374,1.0,12.7,124.0333,56662.0,56662.0
375,2.0,13.1833,123.6,82361.0,41180.5
376,3.0,13.9667,120.8,81859.0,27286.333333333332
377,1.0,13.8833,121.2167,48302.0,48302.0
378,2.0,12.5789,122.2747,38758.0,19379.0
379,7.0,15.5781,120.6819,63715.0,9102.142857142857
380,3.0,13.0,121.4167,86172.0,28724.0
381,2.0,12.7167,121.3667,72073.0,36036.5
